nazev,rok,delka,hodnoceni,pocet_hodnoceni,id,format_film,format_tv,dekada_2000,dekada_1950,dekada_1990,dekada_1980,dekada_1970,dekada_1960,zeme_Československo,zeme_USA,zeme_Česko,zanry_rodinný,zanry_romantický,zanry_pohádka,zanry_komedie,zanry_drama,rezie_Martin_Frič,rezie_Bořivoj_Zeman,scenar_Bořivoj_Zeman,scenar_Jiří_Brdečka,scenar_Martin_Frič,scenar_více,hraji_Josef_Kemr,hraji_Alois_Dvorský,hraji_Václav_Lohniský,hraji_Libuše_Šafránková,hraji_Miloš_Kopecký,hraji_Bohuš_Záhorský,hraji_Jiřina_Bílá,hraji_Václav_Trégl,hraji_František_Filipovský,hraji_Miloslav_Homola,hraji_Naďa_Konvalinková,hraji_Jan_Skopeček,hraji_Josef_Hlinomaz,hraji_Oldřich_Dědek,hraji_Terezie_Brzková,hraji_Oldřich_Vlach,hraji_František_Černý,hraji_Viktor_Maurer,hraji_Bohuslav_Kupšovský,hraji_Vlastimil_Brodský,hraji_Vítězslav_Černý,hraji_Vladimír_Navrátil,hraji_Miloš_Vavruška,hraji_Jaroslav_Moučka,hraji_Bohumil_Koška,hraji_Rudolf_Hrušínský,hraji_více,hraji_Stanislav_Neumann,hraji_Fanda_Mrázek,hraji_Stella_Zázvorková,hraji_Vladimír_Hrubý,hraji_Jarmila_Kurandová,hraji_Jiřina_Bohdalová,hraji_Vladimír_Menšík,hraji_Karel_Effa,hraji_Eman_Fiala,hraji_Miloslav_Štibich,hraji_Mirko_Musil,hraji_Blažena_Slavíčková,hraji_Karel_Fiala,hraji_Květa_Fialová,hraji_Karel_Hovorka_st.,hraji_Václav_Švec
Pelíšky,1999,116,91,117084,14,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrek,2001,90,88,101749,22,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S čerty nejsou žerty,1984,91,89,80866,21,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Sám doma,1990,103,86,80771,24,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Láska nebeská,2003,135,85,76558,8,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tři oříšky pro Popelku,1973,75,86,73324,26,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Na samotě u lesa,1976,93,88,66837,11,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Byl jednou jeden král...,1954,107,87,56191,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Císařův pekař,1951,80,86,55421,25,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Skála,1996,136,86,55347,23,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
