nazev,rok,delka,hodnoceni,pocet_hodnoceni,id,format_film,format_tv,dekada_2000,dekada_1950,dekada_1990,dekada_1980,dekada_1970,dekada_1960,zeme_Československo,zeme_USA,zeme_Česko,zanry_rodinný,zanry_romantický,zanry_pohádka,zanry_komedie,zanry_drama,rezie_Martin_Frič,rezie_Bořivoj_Zeman,scenar_Bořivoj_Zeman,scenar_Jiří_Brdečka,scenar_Martin_Frič,scenar_více,hraji_Josef_Kemr,hraji_Alois_Dvorský,hraji_Václav_Lohniský,hraji_Libuše_Šafránková,hraji_Miloš_Kopecký,hraji_Bohuš_Záhorský,hraji_Jiřina_Bílá,hraji_Václav_Trégl,hraji_František_Filipovský,hraji_Miloslav_Homola,hraji_Naďa_Konvalinková,hraji_Jan_Skopeček,hraji_Josef_Hlinomaz,hraji_Oldřich_Dědek,hraji_Terezie_Brzková,hraji_Oldřich_Vlach,hraji_František_Černý,hraji_Viktor_Maurer,hraji_Bohuslav_Kupšovský,hraji_Vlastimil_Brodský,hraji_Vítězslav_Černý,hraji_Vladimír_Navrátil,hraji_Miloš_Vavruška,hraji_Jaroslav_Moučka,hraji_Bohumil_Koška,hraji_Rudolf_Hrušínský,hraji_více,hraji_Stanislav_Neumann,hraji_Fanda_Mrázek,hraji_Stella_Zázvorková,hraji_Vladimír_Hrubý,hraji_Jarmila_Kurandová,hraji_Jiřina_Bohdalová,hraji_Vladimír_Menšík,hraji_Karel_Effa,hraji_Eman_Fiala,hraji_Miloslav_Štibich,hraji_Mirko_Musil,hraji_Blažena_Slavíčková,hraji_Karel_Fiala,hraji_Květa_Fialová,hraji_Karel_Hovorka_st.,hraji_Václav_Švec
Pretty Woman,1990,119,79,54349,15,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S tebou mě baví svět,1982,82,82,44669,20,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dobrý voják Švejk,1956,105,86,43087,6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Mrazík,1964,79,75,41323,10,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anděl Páně,2005,91,77,40797,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adéla ještě nevečeřela,1978,105,85,40792,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
Někdo to rád horké,1959,120,88,37868,13,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šíleně smutná princezna,1968,89,83,32665,29,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0
Grinch,2000,104,62,31903,7,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Princ a Večernice,1978,79,76,31523,16,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pyšná princezna,1952,94,82,28205,19,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Princezna se zlatou hvězdou,1959,78,77,28171,17,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
Z pekla štěstí,1999,111,42,27899,28,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dařbuján a Pandrhola,1959,80,83,27649,5,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1
Prázdniny v Římě,1953,118,88,26697,18,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nesmrtelná teta,1993,98,63,23249,12,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Veselé Vánoce přejí chobotnice,1986,92,66,11749,27,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Láska rohatá,2009,90,53,9469,9,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bohouš,1968,25,88,7462,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dalskabáty, hříšná ves aneb Zapomenutý čert",1976,116,80,3101,4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
