nazev,rok,delka,hodnoceni,pocet_hodnoceni,id,format_tv,format_film,dekada_1970,dekada_2000,dekada_1950,dekada_1990,domaci_domaci,domaci_zahranicni,animace_animovany,animace_hrany,travesti_cisdressing,travesti_crossdressing,nadprirozene_realisticke,nadprirozene_nadprirozene,jesex_neni,jesex_je,zeme_Československo,zeme_USA,zeme_Česko,zanry_rodinný,zanry_pohádka,zanry_drama,zanry_komedie,zanry_romantický,scenar_Jiří_Brdečka,hraji_Naďa_Konvalinková,hraji_Václav_Trégl,hraji_Bohuslav_Kupšovský,hraji_Miloš_Vavruška,hraji_Květa_Fialová,hraji_Karel_Effa,hraji_Jaroslav_Moučka,hraji_Stella_Zázvorková,hraji_Bohuš_Záhorský,hraji_Mirko_Musil,hraji_Josef_Kemr,hraji_Miloš_Kopecký,hraji_Václav_Švec,hraji_Oldřich_Vlach,hraji_Stanislav_Neumann,hraji_Vladimír_Menšík,hraji_František_Filipovský,hraji_Josef_Hlinomaz,hraji_Jiřina_Bohdalová
Pretty Woman,1990,119,79,54349,15,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S tebou mě baví svět,1982,82,82,44669,20,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dobrý voják Švejk,1956,105,86,43087,6,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0
Mrazík,1964,79,75,41323,10,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anděl Páně,2005,91,77,40797,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Adéla ještě nevečeřela,1978,105,85,40792,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Někdo to rád horké,1959,120,88,37868,13,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šíleně smutná princezna,1968,89,83,32665,29,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Grinch,2000,104,62,31903,7,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Princ a Večernice,1978,79,76,31523,16,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Pyšná princezna,1952,94,82,28205,19,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0
Princezna se zlatou hvězdou,1959,78,77,28171,17,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Z pekla štěstí,1999,111,42,27899,28,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dařbuján a Pandrhola,1959,80,83,27649,5,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0
Prázdniny v Římě,1953,118,88,26697,18,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nesmrtelná teta,1993,98,63,23249,12,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Veselé Vánoce přejí chobotnice,1986,92,66,11749,27,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
Láska rohatá,2009,90,53,9469,9,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bohouš,1968,25,88,7462,2,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Dalskabáty, hříšná ves aneb Zapomenutý čert",1976,116,80,3101,4,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
