nazev,rok,delka,hodnoceni,pocet_hodnoceni,id,format_tv,format_film,dekada_1970,dekada_2000,dekada_1950,dekada_1990,domaci_domaci,domaci_zahranicni,animace_animovany,animace_hrany,travesti_cisdressing,travesti_crossdressing,nadprirozene_realisticke,nadprirozene_nadprirozene,jesex_neni,jesex_je,zeme_Československo,zeme_USA,zeme_Česko,zanry_rodinný,zanry_pohádka,zanry_drama,zanry_komedie,zanry_romantický,scenar_Jiří_Brdečka,hraji_Naďa_Konvalinková,hraji_Václav_Trégl,hraji_Bohuslav_Kupšovský,hraji_Miloš_Vavruška,hraji_Květa_Fialová,hraji_Karel_Effa,hraji_Jaroslav_Moučka,hraji_Stella_Zázvorková,hraji_Bohuš_Záhorský,hraji_Mirko_Musil,hraji_Josef_Kemr,hraji_Miloš_Kopecký,hraji_Václav_Švec,hraji_Oldřich_Vlach,hraji_Stanislav_Neumann,hraji_Vladimír_Menšík,hraji_František_Filipovský,hraji_Josef_Hlinomaz,hraji_Jiřina_Bohdalová
Pelíšky,1999,116,91,117084,14,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shrek,2001,90,88,101749,22,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S čerty nejsou žerty,1984,91,89,80866,21,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Sám doma,1990,103,86,80771,24,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Láska nebeská,2003,135,85,76558,8,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tři oříšky pro Popelku,1973,75,86,73324,26,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Na samotě u lesa,1976,93,88,66837,11,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Byl jednou jeden král...,1954,107,87,56191,3,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Císařův pekař,1951,80,86,55421,25,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
Skála,1996,136,86,55347,23,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
